Date,Close
2019-11-19,155.36
2019-11-20,155.37
2019-11-21,155.34
2019-11-22,155.29
2019-11-25,155.31
2019-11-26,155.34
2019-11-27,155.33
2019-11-28,155.33
2019-11-29,155.24
2019-12-02,155.29
2019-12-03,155.19
2019-12-04,155.14
2019-12-05,155.1
2019-12-06,155.07
2019-12-09,154.97
2019-12-10,154.98
2019-12-11,154.98
2019-12-12,154.99
2019-12-13,154.96
2019-12-16,155.01
2019-12-17,154.95
2019-12-18,154.95
2019-12-19,154.9
2019-12-20,154.9
2019-12-23,154.91
2019-12-24,154.9
2019-12-26,155.07
2019-12-27,155.03
2019-12-30,154.93
2019-12-31,154.85
2020-01-02,154.88
2020-01-03,154.9
2020-01-06,154.96
2020-01-07,155.01
2020-01-08,155.08
2020-01-09,154.89
2020-01-10,154.83
2020-01-13,154.85
2020-01-14,154.85
2020-01-15,154.78
2020-01-16,154.66
2020-01-17,154.57
2020-01-20,154.6
2020-01-21,154.61
2020-01-22,154.53
2020-01-23,154.61
2020-01-24,154.57
2020-01-27,154.57
2020-01-28,154.57
2020-01-29,154.56
2020-01-30,154.47
2020-01-31,154.49
2020-02-03,154.51
2020-02-04,154.41
2020-02-06,154.49
2020-02-07,154.41
2020-02-10,154.43
2020-02-11,154.42
2020-02-12,154.36
2020-02-13,154.38
2020-02-14,154.17
2020-02-17,154.28
2020-02-18,154.23
2020-02-19,154.26
2020-02-20,154.24
2020-02-21,154.2
2020-02-24,154.21
2020-02-25,154.26
2020-02-26,154.25
2020-02-27,154.21
2020-02-28,154.23
2020-03-02,154.37
2020-03-03,154.29
2020-03-04,154.21
2020-03-05,154.27
2020-03-06,154.24
2020-03-09,156.58
2020-03-10,157.45
2020-03-11,158.42
2020-03-12,159.13
2020-03-13,158.98
2020-03-16,158.41
2020-03-17,158.43
2020-03-18,158.52
2020-03-19,158.58
2020-03-20,158.68
2020-03-24,159.01
2020-03-25,161.61
2020-03-26,166.13
2020-03-27,165.54
2020-03-30,166.14
2020-03-31,166.7
2020-04-01,166.83
2020-04-02,166.93
2020-04-03,166.77
2020-04-06,166.99
2020-04-07,167.9
2020-04-08,167.76
2020-04-09,167.19
2020-04-10,166.79
2020-04-13,166.83
2020-04-14,166.95
2020-04-15,166.98
2020-04-16,166.88
2020-04-17,163.58
2020-04-20,163.49
2020-04-21,161.13
2020-04-22,160.36
2020-04-23,159.98
2020-04-24,160.48
2020-04-28,161.65
2020-04-29,161.61
2020-04-30,160.17
2020-05-04,159.91
2020-05-05,159.65
2020-05-06,160.06
2020-05-07,160.23
2020-05-08,159.97
2020-05-11,160.08
2020-05-12,160.46
2020-05-13,160.95
2020-05-14,160.1
2020-05-15,160.1
2020-05-18,160.37
2020-05-19,160.75
2020-05-20,160.77
2020-05-21,160.92
2020-05-28,161.99
2020-05-29,163.1
2020-06-01,164.08
2020-06-02,164.9
2020-06-03,164.33
2020-06-04,163.66
2020-06-05,163.3
2020-06-08,163.62
2020-06-09,164.34
2020-06-10,164.55
2020-06-11,164.59
2020-06-12,164.25
2020-06-15,164.86
2020-06-16,164.88
2020-06-17,165.71
2020-06-18,166.35
2020-06-19,166.64
2020-06-22,166.59
2020-06-23,167.65
2020-06-24,167.36
2020-06-25,167.36
2020-06-26,167.67
2020-06-29,168.19
2020-06-30,168.05
2020-07-02,166.89
2020-07-03,166.21
2020-07-06,166.72
2020-07-07,166.95
2020-07-08,166.76
2020-07-09,166.58
2020-07-10,166.35
2020-07-13,166.63
2020-07-14,166.68
2020-07-15,166.67
2020-07-16,166.99
2020-07-17,167.33
2020-07-20,168.3
2020-07-21,167.9
2020-07-22,167.64
2020-07-23,167.63
2020-07-24,167.26
2020-07-27,166.88
2020-07-28,166.46
2020-07-29,166.79
2020-07-30,166.98
2020-08-03,167.47
2020-08-04,167.64
2020-08-05,168.23
2020-08-06,168.13
2020-08-07,167.88
2020-08-10,168.38
2020-08-11,168.27
2020-08-12,168.08
2020-08-13,167.93
2020-08-17,168.17
2020-08-18,168.19
2020-08-19,168.27
2020-08-20,168.38
2020-08-21,168.29
2020-08-24,168.39
2020-08-25,168.37
2020-08-26,168.44
2020-08-27,167.43
2020-08-31,166.24
2020-09-01,165.63
2020-09-02,165.6
2020-09-03,166.04
2020-09-04,165.77
2020-09-07,165.87
2020-09-08,166.43
2020-09-09,166.53
2020-09-10,166.4
2020-09-11,165.97
2020-09-14,166.17
2020-09-15,166.27
2020-09-16,166.34
2020-09-17,166.21
2020-09-18,165.83
2020-09-21,166.3
2020-09-22,166.23
2020-09-23,166.23
2020-09-24,165.96
2020-09-25,165.79
2020-09-28,165.89
2020-10-09,163.8381
2020-10-12,163.8147
2020-10-13,163.8683
2020-10-14,163.4837
2020-10-15,162.8607
2020-10-16,162.4942
2020-10-19,162.4942
2020-10-20,162.4942
2020-10-21,162.1302
2020-10-22,162.1302
2020-10-23,161.3698
2020-10-26,161.0537
2020-10-27,161.0537
2020-10-28,160.6207
2020-10-29,160.6207
2020-10-30,160.2578
2020-11-02,160.1094
2020-11-03,159.9693
2020-11-04,159.8124
2020-11-05,159.8124
2020-11-06,159.4617
2020-11-09,158.9116
2020-11-10,158.9116
2020-11-11,158.4881
2020-11-12,158.3326
2020-11-13,158.1633
2020-11-16,158.1691
2020-11-17,158.3053
2020-11-18,159.8338
2020-11-19,160.6187
2020-11-20,160.7287
2020-11-23,161.0476
2020-11-24,160.0893
2020-11-25,159.275
2020-11-26,159.2658
2020-11-27,159.4639
2020-11-30,159.4226
2020-12-01,159.8167
2020-12-02,160.4631
2020-12-03,160.1665
2020-12-04,160.1348
2020-12-07,160.3211
2020-12-08,160.472
2020-12-09,160.4855
2020-12-10,160.2862
2020-12-11,160.1381
2020-12-14,160.4747
2020-12-15,160.5933
2020-12-16,160.3944
2020-12-17,160.1126
2020-12-18,160.0891
2020-12-21,160.7125
2020-12-22,160.679
2020-12-23,160.5473
2020-12-24,160.3187
2020-12-28,160.3769
2020-12-29,160.3914
2020-12-30,160.2809
2020-12-31,159.8344
2021-01-04,159.978
2021-01-05,160.3273
2021-01-06,160.2926
2021-01-07,160.0152
2021-01-08,160.1715
2021-01-11,160.3897
2021-01-12,160.3744
2021-01-13,160.3467
2021-01-14,160.1831
2021-01-15,160.332
2021-01-18,160.5239
2021-01-19,160.6073
2021-01-20,160.5001
2021-01-21,160.619
2021-01-22,160.7495
2021-01-25,160.7957
2021-01-26,160.6385
2021-01-27,160.5359
2021-01-28,160.2825
2021-01-29,160.1011
2021-02-01,160.2226
2021-02-02,160.1572
2021-02-03,160.1856
2021-02-04,159.9871
2021-02-08,159.564
2021-02-09,159.3472
2021-02-10,159.3079
2021-02-11,159.0729
2021-02-12,158.8185
2021-02-15,159.2732
2021-02-16,159.5407
2021-02-17,159.2555
2021-02-18,158.9303
2021-02-19,159.1023
2021-02-22,159.0666
2021-02-23,158.8867
2021-02-24,158.7575
2021-02-25,158.461
2021-02-26,158.1007
2021-03-01,158.0367
2021-03-02,157.8451
2021-03-03,157.1341
2021-03-04,157.1554
2021-03-05,157.1233
2021-03-08,157.0754
2021-03-09,157.0386
2021-03-10,157.1257
2021-03-11,157.0859
2021-03-12,157.1388
2021-03-15,156.9973
2021-03-16,156.7158
2021-03-17,155.7438
2021-03-18,155.451
2021-03-19,155.9724
2021-03-22,155.8528
2021-03-24,155.3946
2021-03-25,155.0115
2021-03-26,154.5867
2021-03-29,154.0379
2021-03-30,153.0921
2021-03-31,152.7586
2021-04-01,153.2955
2021-04-02,153.5521
2021-04-05,153.6587
2021-04-06,153.3318
2021-04-07,153.1788
2021-04-08,153.0158
2021-04-09,152.9432
2021-04-12,152.7483
2021-04-13,152.8287
2021-04-15,152.8313
2021-04-16,152.8159
2021-04-19,152.9346
2021-04-20,152.9899
2021-04-21,153.2355
2021-04-22,153.4607
2021-04-23,153.8711
