Date,Close
2020-03-16,89000
2020-03-17,89500
2020-03-18,89300
2020-03-19,87500
2020-03-20,89900
2020-03-21,89000
2020-03-22,89900
2020-03-23,88800
2020-03-24,93200
2020-03-25,96100
2020-03-26,96600
2020-03-27,100100
2020-03-28,101000
2020-03-29,102500
2020-03-30,100100
2020-03-31,99500
2020-04-01,98500
2020-04-02,99300
2020-04-03,100600
2020-04-04,101000
2020-04-05,101000
2020-04-06,101300
2020-04-07,101700
2020-04-08,101500
2020-04-09,101600
2020-04-10,105200
2020-04-11,101600
2020-04-12,101600
2020-04-13,105100
2020-04-14,107200
2020-04-15,107600
2020-04-16,107200
2020-04-17,106900
2020-04-18,104900
2020-04-19,104900
2020-04-20,103200
2020-04-21,103250
2020-04-22,101700
2020-04-23,101500
2020-04-24,102800
2020-04-25,104000
2020-04-26,104000
2020-04-27,103600
2020-04-28,102400
2020-04-29,102600
2020-04-30,103500
2020-05-01,103600
2020-05-02,102200
2020-05-03,102200
2020-05-04,102300
2020-05-05,102000
2020-05-06,101900
2020-05-07,102200
2020-05-08,103200
2020-05-09,101800
2020-05-10,101800
2020-05-11,102900
2020-05-12,101800
2020-05-13,102200
2020-05-14,103100
2020-05-15,104200
2020-05-16,104500
2020-05-17,104500
2020-05-18,103100
2020-05-19,104400
2020-05-20,105100
2020-05-21,105100
2020-05-22,103800
2020-05-23,104500
2020-05-24,104500
2020-05-25,104600
2020-05-26,104650
2020-05-27,103000
2020-05-28,103300
2020-05-29,103700
2020-05-30,105800
2020-05-31,105800
2020-06-01,106300
2020-06-02,106400
2020-06-03,106800
2020-06-04,104700
2020-06-05,104400
2020-06-06,103000
2020-06-07,103000
2020-06-08,102800
2020-06-09,103700
2020-06-10,105400
2020-06-11,106400
2020-06-12,107100
2020-06-13,106700
2020-06-14,106700
2020-06-15,107000
2020-06-16,106700
2020-06-17,106900
2020-06-18,107200
2020-06-19,107300
2020-06-20,109100
2020-06-21,109100
2020-06-22,109500
2020-06-23,109600
2020-06-24,111000
2020-06-25,110800
2020-06-26,110400
2020-06-27,111200
2020-06-28,111200
2020-06-29,111300
2020-06-30,111200
2020-07-01,112000
2020-07-02,111000
2020-07-03,111400
2020-07-04,111200
2020-07-05,111200
2020-07-06,111100
2020-07-07,112000
2020-07-08,112400
2020-07-09,112400
2020-07-10,113400
2020-07-11,112400
2020-07-12,112400
2020-07-13,112500
