End_Period,SBP,Banks,Total
2017-05-26,16921.9,4848.5,21770.4
2017-06-02,15706.6,4809.1,20515.7
2017-06-09,15296.3,4861.5,20157.8
2017-06-16,15420.8,4940.2,20361
2017-06-23,16376.0,4982.0,21358
2017-06-30,16144.8,5258.1,21402.9
2017-07-07,16197.3,5250.3,21447.6
2017-07-14,15478.5,5351.5,20830
2017-07-21,15003.1,5433.1,20436.2
2017-07-28,14698.2,5584.9,20283.1
2017-08-04,14398.8,5604.9,20003.699999999997
2017-08-11,14310.5,5631.3,19941.8
2017-08-18,14375.1,5671.2,20046.3
2017-08-25,14343.4,5657.7,20001.1
2017-08-31,14681.4,5719.5,20400.9
2017-09-08,14758.4,5826.8,20585.2
2017-09-15,14283.6,5816.1,20099.7
2017-09-22,14132.7,5918.9,20051.6
2017-09-29,13857.2,5918.0,19775.2
2017-10-06,13787.9,5884.1,19672
2017-10-13,14157.6,5895.3,20052.9
2017-10-20,13941.6,5960.5,19902.1
2017-10-27,13846.7,5996.1,19842.800000000003
2017-11-03,13861.2,6050.9,19912.1
2017-11-10,13677.6,6017.4,19695
2017-11-17,13541.1,6169.6,19710.7
2017-11-24,13547.3,6145.9,19693.199999999997
2017-11-30,12660.7,6113.0,18773.7
2017-12-08,14666.3,6020.4,20686.699999999997
2017-12-15,14332.2,6051.2,20383.4
2017-12-22,14133.3,6055.7,20189
2017-12-29,14106.9,6070.2,20177.1
2018-01-05,13982.5,6037.5,20020
2018-01-12,13699.0,6072.5,19771.5
2018-01-19,13532.8,6107.6,19640.4
2018-01-26,13234.0,6120.5,19354.5
2018-02-02,13060.6,6122.3,19182.9
2018-02-09,12833.9,6134.2,18968.1
2018-02-16,12703.7,6125.0,18828.7
2018-02-23,12345.6,6067.7,18413.3
2018-03-02,12233.2,6096.0,18329.2
2018-03-09,12125.7,6114.7,18240.4
2018-03-16,11944.0,6135.0,18079
2018-03-22,11776.1,6172.3,17948.4
2018-03-30,11602.0,6194.4,17796.4
2018-04-06,11438.3,6201.5,17639.8
2018-04-13,11379.6,6165.9,17545.5
2018-04-20,10917.0,6213.6,17130.6
2018-04-27,11510.3,6202.6,17712.9
2018-05-04,11162.7,6123.7,17286.4
