,END PERIOD,NET RESERVES WITH SBP,NET RESERVES WITH BANKS,TOTAL LIQUID FX RESERVES
386,2018-09-28,8408.7,6512.0,14920.7
387,2018-10-05,8307.8,6544.3,14852.099999999999
388,2018-10-12,8088.9,6525.0,14613.9
389,2018-10-19,7825.0,6470.8,14295.8
390,2018-10-26,7776.9,6407.6,14184.5
391,2018-11-02,7678.9,6389.2,14068.099999999999
392,2018-11-09,7482.9,6349.1,13832.0
393,2018-11-16,7286.5,6428.5,13715.0
394,2018-11-23,8062.4,6510.2,14572.599999999999
395,2018-11-30,7502.1,6494.0,13996.1
396,2018-12-07,7260.4,6493.5,13753.9
397,2018-12-14,8048.4,6536.2,14584.599999999999
398,2018-12-21,7457.3,6560.5,14017.8
399,2018-12-28,7287.5,6550.3,13837.8
400,2019-01-04,7048.7,6548.3,13597.0
401,2019-01-11,6901.2,6588.0,13489.2
402,2019-01-18,6636.1,6621.1,13257.2
403,2019-01-25,8154.3,6648.2,14802.5
404,2019-02-01,8192.5,6692.6,14885.1
405,2019-02-08,8205.9,6689.9,14895.8
406,2019-02-15,8043.0,6751.6,14794.6
407,2019-02-22,8036.8,6779.0,14815.8
408,2019-03-01,8116.5,6839.7,14956.2
409,2019-03-08,8122.9,6843.0,14965.9
410,2019-03-15,8838.7,6870.9,15709.6
411,2019-03-22,8560.9,6913.0,15473.9
412,2019-03-29,10492.2,6925.1,17417.300000000003
413,2019-04-05,10271.9,6956.4,17228.3
414,2019-04-12,9243.7,6952.2,16195.900000000001
415,2019-04-19,9024.3,6970.0,15994.3
416,2019-04-26,8805.2,6937.6,15742.800000000001
417,2019-05-03,8984.1,6988.5,15972.6
418,2019-05-10,8845.6,7048.8,15894.400000000001
419,2019-05-17,8057.599999999999,7068.9,15126.5
420,2019-05-24,8010.2,7079.6,15089.8
421,2019-05-31,7862.6,7018.9,14881.5
422,2019-06-03,7807.2,7019.7,14826.9
423,2019-06-14,7604.5,7034.6,14639.1
424,2019-06-21,7282.1,7069.2,14351.3
425,2019-06-28,7285.2,7196.4,14481.599999999999
426,2019-07-05,7083.6,7175.7,14259.3
427,2019-07-12,8001.3,7247.9,15249.2
428,2019-07-19,7611.9,7250.5,14862.4
429,2019-07-26,7767.0,7294.8,15061.8
430,2019-08-02,7729.1,7291.1,15020.2
431,2019-08-09,8264.4,7313.1,15577.5
432,2019-08-17,8238.7,7366.0,15604.7
433,2019-08-23,8271.1,7358.6,15629.7
434,2019-08-30,8279.5,7364.5,15644.0
